BehaviorSpace results (NetLogo 5.0.4),,,,,,
forage_12_model.nlogo,,,,,,
E1-Survival,,,,,,
04/28/2014 16:17:05:293 -0700,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,
-40,40,-40,40,,,
[run number],max-seed-val,num-patches,hed-eud,init-si,[step],sum [energy] of foragers
501,15,25,0,7,217,340.337158
498,15,25,0,6,501,1694.717733
505,15,25,0,9,176,452.0925599
503,15,25,0,8,501,1272.06133
506,15,25,0,9,349,638.5782304
508,15,25,0,10,151,430.8089176
509,15,25,0,10,142,315.5603475
504,15,25,0,8,501,1541.821021
507,15,25,0,9,501,1231.155546
511,15,30,0,1,212,517.0980259
510,15,25,0,10,296,401.127421
513,15,30,0,1,124,372.3470648
514,15,30,0,2,124,226.1248118
516,15,30,0,2,124,177.4989002
515,15,30,0,2,154,187.715377
517,15,30,0,3,196,408.505033
519,15,30,0,3,142,256.4690951
518,15,30,0,3,171,500.1112943
520,15,30,0,4,142,236.2000155
521,15,30,0,4,121,220.0561004
522,15,30,0,4,133,234.983095
512,15,30,0,1,501,1616.106362
523,15,30,0,5,154,350.1094432
524,15,30,0,5,134,328.6991803
525,15,30,0,5,144,445.3299692
526,15,30,0,6,130,325.0632668
527,15,30,0,6,164,410.0573176
529,15,30,0,7,169,519.4580919
528,15,30,0,6,229,560.6750646
531,15,30,0,7,135,334.6129689
532,15,30,0,8,129,178.0915273
533,15,30,0,8,156,278.9650245
534,15,30,0,8,134,216.7769496
530,15,30,0,7,326,615.7932046
536,15,30,0,9,137,279.8524933
535,15,30,0,9,209,440.4622917
537,15,30,0,9,158,376.0157306
541,20,5,0,1,106,354.5313619
538,15,30,0,10,227,356.677717
542,20,5,0,1,102,225.6420759
543,20,5,0,1,102,133.9379215
540,15,30,0,10,329,656.3183622
544,20,5,0,2,105,313.4397689
539,15,30,0,10,381,569.8911356
545,20,5,0,2,102,181.6034415
546,20,5,0,2,102,195.2187952
547,20,5,0,3,104,154.483091
548,20,5,0,3,106,265.8605886
550,20,5,0,4,102,142.0835478
549,20,5,0,3,102,167.2488922
551,20,5,0,4,102,96.5777571
552,20,5,0,4,102,204.1733677
553,20,5,0,5,113,164.6171518
555,20,5,0,5,102,138.6342753
554,20,5,0,5,102,231.0837166
556,20,5,0,6,102,72.56627425
557,20,5,0,6,103,110.610639
558,20,5,0,6,107,123.5813748
560,20,5,0,7,108,185.0161243
559,20,5,0,7,102,128.6025061
561,20,5,0,7,108,195.0629598
562,20,5,0,8,102,215.9882987
563,20,5,0,8,102,237.53425
564,20,5,0,8,102,117.0424832
565,20,5,0,9,102,155.5325302
566,20,5,0,9,102,110.2107513
567,20,5,0,9,106,196.7042892
568,20,5,0,10,102,141.6941026
569,20,5,0,10,102,93.4757737
570,20,5,0,10,104,233.0203846
571,20,10,0,1,135,403.0381873
574,20,10,0,2,108,191.040946
572,20,10,0,1,135,455.5881996
573,20,10,0,1,140,247.6699659
575,20,10,0,2,102,327.1787669
576,20,10,0,2,104,292.8767573
578,20,10,0,3,112,371.6764797
577,20,10,0,3,107,264.7558057
579,20,10,0,3,102,258.2313562
580,20,10,0,4,103,217.6901742
581,20,10,0,4,105,196.7274823
583,20,10,0,5,107,189.0274706
582,20,10,0,4,130,213.8335571
585,20,10,0,5,102,178.6101204
584,20,10,0,5,135,239.56579
589,20,10,0,7,113,255.71984
588,20,10,0,6,127,332.1963508
587,20,10,0,6,147,371.5479398
591,20,10,0,7,148,341.4026853
593,20,10,0,8,114,267.3788492
586,20,10,0,6,501,656.3652382
595,20,10,0,9,109,298.9314752
594,20,10,0,8,143,586.0678345
590,20,10,0,7,501,2624.181243
596,20,10,0,9,118,274.304344
597,20,10,0,9,105,219.672543
598,20,10,0,10,107,215.0079985
599,20,10,0,10,119,201.3006313
600,20,10,0,10,122,313.6526057
592,20,10,0,8,501,2033.200408
604,20,15,0,2,114,239.3331083
601,20,15,0,1,243,713.3556852
606,20,15,0,2,123,329.4245467
605,20,15,0,2,186,414.846751
607,20,15,0,3,128,333.2141624
603,20,15,0,1,501,1657.195498
608,20,15,0,3,126,454.4848295
602,20,15,0,1,501,2566.190168
609,20,15,0,3,122,234.4929429
610,20,15,0,4,136,380.0109348
611,20,15,0,4,117,250.3656832
612,20,15,0,4,112,207.5910296
613,20,15,0,5,113,297.8315493
614,20,15,0,5,122,438.3733816
615,20,15,0,5,128,571.2011965
616,20,15,0,6,170,347.6153434
617,20,15,0,6,170,331.0093241
618,20,15,0,6,213,458.4471537
620,20,15,0,7,134,407.9492793
619,20,15,0,7,147,443.5189029
621,20,15,0,7,134,460.3128724
625,20,15,0,9,120,246.137564
622,20,15,0,8,176,534.648155
627,20,15,0,9,140,406.8139607
626,20,15,0,9,164,313.8937986
628,20,15,0,10,126,298.5797841
629,20,15,0,10,140,263.1450728
623,20,15,0,8,501,2497.12785
630,20,15,0,10,201,479.3088775
624,20,15,0,8,501,2019.348255
631,20,20,0,1,501,3368.177797
632,20,20,0,1,501,2524.830625
633,20,20,0,1,501,3378.749452
634,20,20,0,2,501,3413.847226
637,20,20,0,3,147,389.5154348
635,20,20,0,2,501,2902.195345
636,20,20,0,2,501,3131.343445
639,20,20,0,3,501,2866.94016
641,20,20,0,4,194,593.6890298
638,20,20,0,3,501,2774.590443
640,20,20,0,4,501,2203.339002
642,20,20,0,4,501,3205.625097
643,20,20,0,5,501,2410.244493
647,20,20,0,6,173,469.5990019
645,20,20,0,5,501,2094.556891
644,20,20,0,5,501,2805.108225
649,20,20,0,7,179,333.7524199
650,20,20,0,7,163,351.5605122
646,20,20,0,6,501,2404.439087
651,20,20,0,7,155,323.8790059
648,20,20,0,6,501,2527.582119
654,20,20,0,8,501,2668.807015
652,20,20,0,8,501,2328.744028
653,20,20,0,8,501,3359.252413
656,20,20,0,9,186,659.7124564
655,20,20,0,9,501,3155.011118
660,20,20,0,10,235,530.5458281
658,20,20,0,10,501,1429.659811
657,20,20,0,9,501,1968.978097
659,20,20,0,10,501,1474.143291
661,20,25,0,1,501,2675.255833
662,20,25,0,1,501,2580.029741
664,20,25,0,2,501,2734.571977
663,20,25,0,1,501,3506.91277
665,20,25,0,2,501,2011.678565
666,20,25,0,2,501,2916.309135
667,20,25,0,3,501,1865.11282
671,20,25,0,4,150,356.4924011
669,20,25,0,3,501,2326.295828
672,20,25,0,4,172,469.6613579
668,20,25,0,3,501,4993.675783
673,20,25,0,5,173,388.2403788
670,20,25,0,4,501,1984.690545
674,20,25,0,5,501,2443.887218
675,20,25,0,5,501,2366.093094
676,20,25,0,6,501,4101.300453
677,20,25,0,6,501,5013.559846
680,20,25,0,7,147,483.5936354
678,20,25,0,6,501,3796.804782
681,20,25,0,7,501,2922.171272
679,20,25,0,7,501,2092.962093
682,20,25,0,8,501,6237.815875
683,20,25,0,8,501,4871.820168
684,20,25,0,8,501,5596.698954
685,20,25,0,9,501,3375.14646
686,20,25,0,9,501,3661.469221
687,20,25,0,9,501,4273.957862
688,20,25,0,10,501,2933.531093
689,20,25,0,10,501,3724.561308
690,20,25,0,10,501,3377.890754
691,20,30,0,1,501,4220.052412
692,20,30,0,1,501,2201.224771
695,20,30,0,2,228,420.6952764
694,20,30,0,2,501,1550.151568
693,20,30,0,1,501,4219.701076
696,20,30,0,2,501,1326.151421
697,20,30,0,3,501,3203.938204
698,20,30,0,3,501,2016.372094
702,20,30,0,4,186,524.0542851
701,20,30,0,4,286,464.3726685
700,20,30,0,4,501,2361.459698
699,20,30,0,3,501,2297.458793
703,20,30,0,5,501,4223.224736
705,20,30,0,5,501,4800.387568
704,20,30,0,5,501,3974.07617
707,20,30,0,6,210,910.9060684
706,20,30,0,6,501,3229.606804
708,20,30,0,6,501,4308.360823
709,20,30,0,7,501,3551.621613
712,20,30,0,8,194,638.6488055
710,20,30,0,7,501,3191.25273
713,20,30,0,8,159,315.5588139
711,20,30,0,7,501,2383.616389
714,20,30,0,8,135,233.3425446
715,20,30,0,9,501,2971.066035
716,20,30,0,9,501,2460.193716
717,20,30,0,9,501,2196.225784
718,20,30,0,10,501,4415.880357
722,25,5,0,1,102,338.6082869
721,25,5,0,1,116,278.2233312
723,25,5,0,1,102,301.457055
724,25,5,0,2,105,265.7629174
725,25,5,0,2,112,273.0447877
726,25,5,0,2,102,214.8287148
727,25,5,0,3,102,316.6917215
